
 Spansion,S25FL{004|008|016}K,=HYPERLINK(https://www.spansion.com/Support/Datasheets/S25FL004K-016K_00.pdf)
 Spansion,S25FL{116|132|164}K,(http://www.spansion.com/Support/Datasheets/S25FL1-K_00.pdf) {16|32|64} Mib / 108MHz
 Spansion,S25FL216K],(http://www.spansion.com/Support/Datasheets/S25FL216K_00.pdf) 16 Mib / 65MHz
 Spansion,S25FL{128|256}S],(http://www.spansion.com/Support/Datasheets/S25FL128S_256S_00.pdf) {128|256} Mib / 133MHz
 Micron,N25Q128A,(http://www.micron.com/~/media/Documents/Products/Data%20Sheet/NOR%20Flash/Serial%20NOR/N25Q/n25q_128mb_1_8v_65nm.pdf)
 Micron,N25Q256A,(http://www.micron.com/~/media/Documents/Products/Data%20Sheet/NOR%20Flash/Serial%20NOR/N25Q/n25q_256mb_3v_65nm.pdf)
 Windbond,W25Q20EW,(https://www.winbond.com/resource-files/w25q20ew_revf%2011252015%20sfdp.pdf)
 ON Semi,LE25S81A,(http://www.onsemi.com/pub_link/Collateral/LE25S81A-D.PDF)
 ESMT,F25D64QA,(http://www.esmt.com.tw/DB/manager/upload/F25D64QA_1.pdf)
 AMIC,A25LQ080,(http://www.amictechnology.com/datasheets/A25LQ080.pdf)
 GeneralPlus,GPR25L3203F,(http://www.generalplus.com/doc/ds/GPR25L3203FV10_ds.pdf)
 Macronix,MX25L4006E,(http://natisbad.org/NAS4/refs/MX25L4006E_3V_4Mb_v1.4.pdf)
